Mol#,Iso#,Wv #,Intensity,Einstein A-Coef,Air Width,Self Width,Lower State E,Temp Dep,Press Shift
1,1,8478.610494,1.62E-26,7.93E-02,0.0762,0.453,2004.8154,0.69,-0.01128
1,4,8478.605597,1.37E-26,5.43E-01,0.0832,0.346,653.0887,0.57,-0.007978
1,4,8478.593434,4.79E-27,4.06E-01,0.0738,0.333,808.5629,0.57,-0.01447
1,4,8478.574687,9.25E-27,4.90E-01,0.0803,0.333,711.7953,0.57,-0.007784
1,1,8478.469844,1.50E-27,8.34E-04,0.0468,0.352,1394.8141,0.61,-0.013473
1,1,8478.410392,4.51E-27,8.36E-04,0.0345,0.352,1394.8141,0.61,-0.018788
1,4,8478.254134,4.79E-27,4.08E-01,0.0723,0.4,809.3933,0.57,-0.010975
1,2,8478.244081,1.27E-27,9.53E-01,0.0822,0.346,1894.1968,0.47,-0.006785
1,1,8478.139115,5.06E-26,2.21E-03,0.0482,0.2,920.2098,0.55,-0.010705
1,1,8477.763896,7.13E-26,1.25E-03,0.0609,0.4,709.6082,0.61,-0.017514
1,1,8477.658578,3.34E-25,1.12E-02,0.0833,0.352,816.6942,0.61,-0.005166
1,1,8477.64349,3.16E-23,2.71E-02,0.0809,0.412,224.8384,0.69,-0.00643
1,2,8477.62176,2.72E-27,2.58E-02,0.0725,0.357,925.6997,0.61,-0.014106
1,1,8477.47256,3.31E-27,7.93E-01,0.039,0.25,2748.0987,0.41,-0.026779
1,1,8477.435098,1.74E-27,3.68E-03,0.028,0.265,1774.6153,0.44,-0.023172
1,4,8477.419017,1.18E-27,6.19E-02,0.0782,0.315,735.7351,0.55,-0.016873
1,1,8477.383597,5.37E-27,3.79E-03,0.0281,0.265,1774.7503,0.44,-0.02214
1,1,8477.296484,1.22E-26,2.25E-05,0.0801,0.4,447.2523,0.63,-0.002245
1,1,8477.177817,4.00E-27,4.41E-02,0.0934,0.391,2130.4942,0.67,-0.014819
1,1,8476.711047,1.68E-27,1.52E-02,0.0814,0.391,2130.4942,0.67,-0.008733
1,1,8476.548668,2.16E-25,1.07E-02,0.0847,0.359,1122.7083,0.57,-0.00726
1,1,8476.309312,1.27E-25,3.43E-02,0.0414,0.19,1216.1897,0.61,-0.018799
1,1,8476.306086,3.82E-25,3.43E-02,0.0457,0.19,1216.1944,0.61,-0.016973
1,4,8476.187248,3.28E-27,1.05E-01,0.0488,0.315,634.4282,0.55,-0.022141
1,1,8475.942429,1.05E-23,2.67E-02,0.0847,0.412,222.0528,0.69,-0.003969
1,1,8475.931995,1.64E-26,4.39E-03,0.0533,0.298,1293.0173,0.51,-0.007336
1,1,8475.884262,1.90E-27,1.62E-01,0.0279,0.235,2550.8816,0.4,-0.016856
1,4,8475.824461,1.63E-26,5.24E-01,0.0657,0.4,634.7909,0.55,-0.023414
1,4,8475.728236,1.64E-26,5.25E-01,0.0658,0.315,634.4282,0.55,-0.020831
1,1,8475.72124,6.39E-27,7.34E-02,0.061,0.4,2105.8666,0.44,-0.007069
1,3,8475.545762,2.81E-27,2.68E-02,0.077,0.391,325.8965,0.67,0
1,1,8475.482102,2.36E-27,1.03E-01,0.0577,0.352,2318.5399,0.61,-0.011824
1,1,8475.426665,1.55E-27,5.60E-04,0.0589,0.298,1581.3357,0.51,-0.029542
1,4,8475.365449,3.29E-27,1.06E-01,0.0569,0.315,634.7909,0.55,-0.01778
1,4,8475.08565,1.97E-27,3.19E-01,0.0608,0.333,942.5324,0.57,-0.015399
1,4,8475.069915,1.97E-27,3.19E-01,0.0599,0.333,942.5621,0.57,-0.016456
1,1,8474.935891,6.40E-26,2.26E-03,0.059,0.305,1079.0792,0.55,-0.003054
1,2,8474.91688,1.46E-26,2.08E-02,0.0878,0.434,204.7559,0.71,-0.008862
1,1,8474.899687,2.27E-26,1.14E+00,0.0362,0.296,2426.1953,0.41,-0.024211
1,3,8474.419331,8.38E-27,2.65E-02,0.077,0.391,324.6772,0.67,0
1,1,8474.403795,1.40E-25,2.26E-03,0.0941,0.44,602.7735,0.63,-0.009202
1,2,8474.37759,2.89E-26,2.65E-02,0.0607,0.371,445.3462,0.63,-0.010143
1,1,8474.202002,3.15E-27,9.25E-02,0.0845,0.371,2211.1905,0.63,-0.010692
1,1,8474.14859,4.55E-26,3.01E-03,0.065,0.243,927.7439,0.61,-0.012072
1,1,8474.052601,1.83E-24,1.23E-02,0.0846,0.408,648.9787,0.63,-0.014769
1,1,8473.991417,1.30E-25,2.59E-03,0.0688,0.51,709.6082,0.61,-0.007084
1,2,8473.67508,9.61E-27,2.64E-02,0.061,0.371,444.8462,0.63,-0.008732
1,1,8473.611981,6.65E-27,2.98E-01,0.0719,0.4,2629.3329,0.41,-0.034812
1,1,8473.551181,5.23E-27,2.21E-03,0.0394,0.4,1590.6901,0.57,-0.020519
1,1,8473.451639,9.04E-27,8.30E-04,0.0846,0.4,1050.1576,0.57,-0.014786
1,1,8473.369842,3.87E-27,2.43E+00,0.0339,0.4,3135.7642,0.47,-0.022952
1,1,8473.368745,1.79E-27,6.49E-05,0.0823,0.4,1059.8353,0.61,-0.018877
1,3,8473.206053,1.04E-26,2.27E-02,0.093,0.434,173.1101,0.71,-0.007259
1,1,8473.187382,1.75E-27,2.22E-03,0.0463,0.333,1590.6906,0.57,-0.018045
1,1,8472.892959,6.81E-26,1.08E+00,0.0531,0.259,2414.722,0.41,-0.029544
1,1,8472.534049,9.23E-27,1.01E+00,0.0396,0.4,2586.5288,0.41,-0.022645
1,1,8472.488887,1.40E-27,9.92E-04,0.0142,0.25,1806.6694,0.41,-0.02154
1,1,8472.383644,5.34E-27,1.22E-02,0.0689,0.281,1998.9948,0.47,-0.010883
1,4,8472.362737,1.79E-27,5.77E-02,0.0779,0.333,609.9465,0.57,-0.019456
1,2,8472.34426,6.78E-27,4.87E-02,0.0884,0.504,839.5494,0.61,-0.01446
1,1,8472.332935,3.98E-26,4.86E-04,0.0962,0.781,503.9681,0.67,-0.015387
1,3,8472.232698,2.24E-27,1.57E-02,0.0941,0.456,135.4353,0.72,0
1,2,8471.91953,1.46E-27,1.45E-02,0.0844,0.4,604.5441,0.67,-0.015519
1,1,8471.529363,1.41E-24,2.39E-03,0.0866,0.394,399.4575,0.67,-0.004423
1,4,8471.416675,3.25E-27,4.87E-02,0.0906,0.412,295.4872,0.69,-0.011509
1,1,8471.176977,1.29E-27,2.42E+00,0.0312,0.281,3136.4115,0.47,-0.028801
1,1,8471.151153,5.18E-26,2.68E-04,0.0916,0.614,275.4971,0.69,-0.002829
1,1,8470.996244,2.50E-25,5.61E-03,0.0743,0.31,931.237,0.61,-0.010607
1,1,8470.944472,8.36E-26,1.05E-02,0.0609,0.356,1059.6466,0.61,-0.010531
1,2,8470.94424,2.62E-27,1.82E-03,0.0831,0.392,324.0467,0.67,-0.004502
1,1,8470.892286,2.85E-26,2.74E-01,0.0455,0.335,2327.9126,0.4,-0.027856
1,1,8470.839002,4.24E-27,1.13E-03,0.0216,0.265,1557.8471,0.44,-0.022342
1,4,8470.056783,9.45E-27,5.13E-01,0.0724,0.4,743.0973,0.55,-0.018544
