Mol#,Iso#,Wv #,Intensity,Einstein A-Coef,Air Width,Self Width,Lower State E,Temp Dep,Press Shift
1,1,7154.276842,1.34E-27,9.43E-03,0.0941,0.412,1922.9004,0.69,-0.01118
1,3,7154.2799,1.58E-27,1.02E-01,0.0727,0.4,754.8123,0.63,-0.01288
1,3,7154.2949,7.27E-28,1.41E+01,0.1017,0.456,1661.4596,0.72,-0.01104
1,4,7154.299723,7.30E-28,4.26E+00,0.0969,0.434,1522.9301,0.71,-0.00678
1,3,7154.3111,1.26E-26,2.20E+00,0.081,0.37,1048.6572,0.57,-0.00956
1,2,7154.3345,2.44E-28,7.07E-05,0.0908,0.434,172.8827,0.71,0.003016
1,2,7154.3466,5.16E-26,9.23E+00,0.0447,0.333,1399.4632,0.57,-0.01822
1,1,7154.353293,1.11E-23,8.80E+00,0.0415,0.333,1789.0426,0.57,-0.009
1,1,7154.353838,3.74E-24,8.89E+00,0.033,0.333,1789.0426,0.57,-0.01062
1,3,7154.3608,1.42E-26,1.45E+01,0.0263,0.352,1386.4194,0.61,-0.01664
1,3,7154.361,5.24E-26,1.78E+01,0.033,0.2,1386.4192,0.61,-0.013199
1,2,7154.3739,1.45E-25,8.64E+00,0.0483,0.33,1399.4279,0.57,-0.012059
1,3,7154.4447,1.87E-29,3.13E-01,0.1003,0.434,1735.666,0.71,-0.00802
1,1,7154.4478,1.75E-27,2.18E-05,0.0844,0.352,709.6082,0.61,-0.006664
1,4,7154.458977,1.71E-26,6.03E+00,0.0319,0.352,1171.5317,0.61,-0.01908
1,4,7154.459027,1.71E-26,6.03E+00,0.0319,0.352,1171.5316,0.61,-0.01664
1,1,7154.5285,1.85E-26,1.59E-01,0.0942,0.391,1922.829,0.67,-0.00866
1,1,7154.5563,2.36E-29,1.23E-02,0.0579,0.333,2920.132,0.57,-0.01494
1,1,7154.5743,2.34E-24,1.11E-01,0.0761,0.43,927.7439,0.61,-0.00772
1,1,7154.5943,4.15E-25,4.06E+00,0.0414,0.281,2142.5967,0.47,-0.02184
1,3,7154.61,3.42E-29,7.70E-04,0.0886,0.37,601.9611,0.63,-0.01216
1,1,7154.6277,1.06E-29,4.74E-01,0.0961,0.456,3788.6945,0.72,-0.00946
1,1,7154.6526,4.89E-28,3.81E-02,0.0438,0.25,2586.5288,0.41,-0.025
1,1,7154.6672,9.41E-29,1.84E+00,0.0501,0.265,3738.5422,0.44,-0.005708
1,1,7154.6819,8.55E-29,2.73E-03,0.0669,0.25,2629.3329,0.41,-0.02606
1,2,7154.716,4.83E-29,5.21E-01,0.0368,0.281,2305.1955,0.47,-0.02006
1,1,7154.7168,2.81E-26,7.06E-04,0.0486,0.315,1079.0792,0.55,-0.009176
1,3,7154.7299,8.60E-29,9.37E-02,0.0544,0.298,1713.8496,0.51,-0.01664
1,3,7154.766,2.18E-24,7.36E+00,0.0903,0.476,211.4359,0.71,-0.007239
1,3,7154.7907,3.69E-29,3.15E-01,0.0439,0.281,2137.4196,0.47,-0.02286
1,2,7154.8431,1.56E-29,2.54E-01,0.0817,0.371,2272.646,0.63,-0.011204
1,2,7154.8538,1.46E-28,7.44E-04,0.0789,0.315,916.2577,0.55,-0.009412
1,1,7154.8861,3.38E-28,3.40E+00,0.0998,0.456,3255.3463,0.72,-0.00912
1,1,7154.9442,3.97E-25,1.68E-02,0.0737,0.35,982.9116,0.57,-0.0139
1,1,7154.9524,1.09E-25,2.46E-01,0.0966,0.412,1821.5968,0.69,-0.00682
1,4,7154.953177,4.70E-29,6.05E-02,0.0695,0.25,1543.2439,0.41,-0.01346
1,2,7155.0335,4.81E-29,2.16E-02,0.0791,0.298,1611.6533,0.51,-0.01526
1,5,7155.03514,1.38E-27,4.04E+00,0.0918,0.391,220.464,0.67,-0.0139
1,1,7155.109,1.04E-27,1.42E+00,0.0499,0.315,3139.4755,0.55,-0.012444
1,2,7155.2177,2.04E-29,7.10E-01,0.0368,0.221,2620.3391,0.37,0
1,3,7155.2341,8.01E-29,1.17E-02,0.0807,0.315,1281.2684,0.55,-0.01772
1,1,7155.2888,2.79E-28,1.06E+00,0.1045,0.48,3175.4414,0.73,-0.00148
1,1,7155.36954,3.11E-24,2.87E-02,0.0559,0.32,742.0762,0.67,-0.0151
1,1,7155.3739,5.44E-27,3.09E-03,0.069,0.298,1538.1488,0.51,-0.006352
1,1,7155.3754,5.07E-29,6.60E-04,0.0864,0.352,2309.7301,0.61,-0.00682
1,6,7155.382774,3.14E-29,7.51E-01,0.0863,0.371,383.3124,0.63,-0.01532
1,3,7155.4075,3.81E-28,8.58E-04,0.0916,0.391,324.6612,0.67,-0.003932
1,1,7155.4153,1.21E-24,3.35E-02,0.0525,0.33,742.073,0.67,-0.01376
1,1,7155.4308,2.73E-26,1.97E-02,0.069,0.281,1813.2226,0.47,-0.00428
1,4,7155.4367,2.93E-28,1.42E+00,0.0943,0.412,1553.9614,0.69,-0.00798
1,1,7155.4552,1.68E-24,2.73E+00,0.0637,0.33,1998.9948,0.47,-0.01714
1,3,7155.4611,1.57E-29,7.34E-01,0.013,0.235,2322.7209,0.4,-0.02382
1,5,7155.470675,3.91E-29,3.35E-01,0.0946,0.352,516.799,0.61,-0.00896
1,1,7155.4832,1.75E-27,1.07E+00,0.0494,0.352,2905.4313,0.61,-0.00704
1,2,7155.4888,6.05E-25,4.16E-01,0.0888,0.42,298.6199,0.69,-0.003779
1,2,7155.5123,1.38E-27,1.53E+01,0.0622,0.412,2117.0296,0.69,-0.01282
1,6,7155.517998,3.14E-29,6.67E-01,0.0899,0.434,231.553,0.71,-0.01066
1,4,7155.539697,1.72E-28,9.43E-01,0.0934,0.391,1673.0176,0.67,-0.01082
1,2,7155.557,3.90E-27,1.44E+01,0.0625,0.412,2117.0082,0.69,-0.0132
1,1,7155.5871,2.22E-26,9.33E-02,0.054,0.281,1985.7842,0.47,-0.02432
1,4,7155.594394,1.59E-28,1.48E+00,0.0932,0.371,1816.9011,0.63,-0.0128
1,5,7155.611687,1.31E-27,3.91E+00,0.09,0.391,224.2231,0.67,-0.01268
1,5,7155.657116,1.90E-28,1.27E+00,0.089,0.371,465.5831,0.63,-0.01772
1,4,7155.68492,8.01E-26,1.06E+00,0.0851,0.371,467.5145,0.63,-0.01594
1,1,7155.686594,5.15E-27,1.05E+00,0.0538,0.352,2905.433,0.61,-0.00892
1,3,7155.7842,6.48E-28,8.99E-02,0.0601,0.244,1250.4986,0.57,-0.01456
1,4,7155.799289,1.65E-29,1.35E-02,0.0437,0.265,1465.8294,0.44,-0.03202
1,1,7155.8549,3.93E-25,8.56E-02,0.0663,0.329,1340.8845,0.55,-0.01924
1,1,7155.8996,5.56E-26,2.98E-03,0.0795,0.333,982.9116,0.57,-0.005
1,2,7155.9321,6.28E-29,7.28E-01,0.0103,0.221,2620.2019,0.37,-0.023964
1,1,7155.9875,1.92E-27,4.84E-01,0.0318,0.235,3084.8347,0.4,-0.020764
1,5,7155.999793,1.52E-29,2.88E+00,0.0467,0.315,1231.6323,0.55,-0.01522
1,5,7156.004348,1.52E-29,2.88E+00,0.0467,0.315,1231.6309,0.55,-0.01874
1,1,7156.05454,4.32E-24,4.52E-03,0.1001,0.485,173.3658,0.71,-0.0068
1,1,7156.11303,8.74E-25,1.31E-03,0.092,0.444,142.2785,0.71,-0.001736
1,5,7156.119253,2.44E-28,8.25E-01,0.0894,0.391,291.2422,0.67,-0.01556
1,4,7156.134544,4.77E-29,3.90E-02,0.0529,0.265,1465.8294,0.44,-0.02592
1,4,7156.146963,1.76E-28,9.47E-02,0.073,0.265,1347.12,0.44,-0.01452
