Y Pixel,X Pixel,Radius
785.5,869.0,7.5
786.0,961.0,8.0
784.0,1402.0,5.0
792.5,1435.5,11.5
790.5,444.5,5.5
795.0,1529.5,10.0
798.5,1193.0,8.5
796.5,1414.0,4.5
798.5,181.5,5.5
801.0,777.5,8.0
806.0,1043.0,11.0
801.5,755.5,5.5
818.0,677.0,21.0
805.0,999.5,5.0
806.5,836.5,5.5
810.5,492.0,7.5
807.5,292.5,3.5
808.5,1215.5,4.5
810.0,1382.0,4.0
813.5,1475.5,6.5
814.5,87.0,6.5
816.0,1193.5,7.0
819.5,227.5,5.5
820.5,963.5,5.5
820.5,73.0,4.5
821.0,989.5,5.0
829.0,1587.0,12.0
826.0,384.0,7.0
828.0,1097.5,9.0
826.0,1138.0,7.0
828.5,361.0,6.5
829.0,320.0,6.0
833.0,1210.0,8.0
833.5,31.0,7.5
834.0,620.5,7.0
845.5,847.0,16.5
845.0,1298.5,8.0
847.5,79.0,7.5
854.5,749.5,6.5
852.5,1275.5,4.5
855.5,1410.5,5.5
859.0,1327.0,7.0
863.5,1358.5,9.5
860.5,961.0,4.5
865.0,784.5,8.0
871.0,1432.5,13.0
872.5,60.0,10.5
868.0,89.0,6.0
876.0,426.5,11.0
870.5,979.5,5.5
871.5,711.0,4.5
874.0,247.5,6.0
872.5,1119.5,4.5
873.5,645.0,3.5
877.5,595.5,6.5
874.5,936.0,3.5
874.5,1207.0,3.5
881.0,121.0,6.0
881.5,1550.0,6.5
883.0,796.5,7.0
881.5,406.5,4.5
883.0,901.5,5.0
886.0,682.0,7.0
884.5,1277.5,5.5
911.5,1248.0,31.5
890.0,459.0,8.0
888.5,935.0,6.5
897.5,652.0,10.5
897.5,1082.0,9.5
894.0,668.5,4.0
895.0,1560.0,5.0
896.5,440.5,4.5
899.0,546.0,6.0
902.0,564.5,9.0
905.5,965.5,12.5
896.5,1177.5,3.5
936.5,312.5,39.5
904.0,590.5,5.0
907.5,140.5,4.5
909.5,1123.5,5.5
913.0,830.5,8.0
916.5,1337.5,10.5
914.5,581.0,6.5
930.5,1147.5,21.5
917.5,762.0,7.5
918.5,913.5,6.5
926.5,530.5,6.5
929.0,885.0,8.0
927.5,210.5,4.5
933.0,484.0,8.0
934.0,927.0,8.0
935.5,1102.0,9.5
933.0,95.0,6.0
935.0,948.0,7.0
934.0,802.0,5.0
939.0,1378.5,9.0
937.0,609.0,6.0
937.0,1072.5,6.0
939.5,1325.0,8.5
939.5,162.5,7.5
947.5,471.5,4.5
958.5,1512.0,9.5
959.0,654.0,9.0
956.0,681.0,6.0
954.5,1189.5,4.5
959.0,796.5,8.0
957.0,1557.5,6.0
958.0,31.5,6.0
962.5,634.0,9.5
966.5,1478.5,5.5
973.5,454.5,9.5
972.5,827.5,5.5
976.0,1073.5,8.0
973.5,470.5,3.5
980.0,204.0,9.0
976.5,21.5,4.5
979.0,75.5,7.0
979.5,398.5,5.5
990.0,425.0,14.0
985.0,1333.0,9.0
989.0,892.0,9.0
986.5,1482.5,6.5
996.0,105.5,12.0
993.0,10.5,7.0
991.0,680.0,5.0
1014.0,1067.5,22.0
1006.0,808.0,12.0
1001.0,528.5,5.0
1013.5,1478.0,14.5
1005.5,234.5,5.5
1005.5,503.0,4.5
1010.0,1436.0,8.0
1015.5,654.5,9.5
1013.0,1349.0,7.0
1014.5,673.5,4.5
1018.0,983.0,5.0
1026.5,180.0,12.5
1027.5,1150.5,7.5
1034.5,950.0,13.5
1026.5,1000.5,5.5
1028.0,592.5,5.0
1029.5,1035.5,3.5
1035.0,562.0,7.0
1039.5,828.5,6.5
1045.0,1459.0,11.0
1043.0,146.0,6.0
1042.0,1425.0,5.0
1043.0,971.0,4.0
1049.5,90.5,6.5
1049.5,464.0,3.5
1054.5,732.5,5.5
1055.0,276.0,5.0
1056.0,1011.5,5.0
1062.5,1150.0,10.5
1058.5,447.5,5.5
1058.0,766.0,5.0
1062.5,967.5,8.5
1062.0,163.5,7.0
1063.5,388.0,6.5
1062.0,504.0,5.0
1068.5,1358.5,5.5
1070.5,1437.0,7.5
1070.0,731.5,6.0
1077.0,918.5,13.0
1068.5,1216.0,4.5
1071.5,1305.0,6.5
1075.0,989.0,9.0
1085.5,323.5,15.5
1077.5,825.0,7.5
1091.0,671.5,20.0
1076.5,1026.5,4.5
1076.5,1580.5,3.5
1081.5,1004.5,6.5
1086.0,1284.5,8.0
1085.0,240.0,6.0
1084.5,1414.0,5.5
1085.0,1037.5,5.0
1086.5,1514.5,5.5
1094.0,469.5,11.0
1092.0,901.0,9.0
1096.0,437.0,10.0
1089.5,1454.5,3.5
1095.5,1534.5,6.5
1100.0,1271.0,8.0
1096.5,973.5,3.5
1100.0,1230.0,6.0
1108.0,1473.5,12.0
1105.0,550.5,7.0
1107.0,312.0,7.0
1115.5,1119.5,12.5
1112.0,1248.0,8.0
1110.5,635.5,5.5
1112.5,921.5,6.5
1124.0,387.5,8.0
1120.5,1186.5,4.5
1144.5,305.5,18.5
1134.0,1253.0,6.0
1135.0,775.0,5.0
1139.5,1199.0,5.5
1138.5,894.5,3.5
1141.0,554.0,5.0
1145.0,263.0,7.0
1143.5,1355.0,4.5
1144.5,1389.0,5.5
1148.5,412.0,3.5
1150.0,1251.0,5.0
1157.0,458.0,9.0
1153.5,1098.5,5.5
1157.5,1175.0,7.5
1161.5,576.5,10.5
1158.0,1508.5,6.0
1166.5,1448.5,12.5
1166.5,804.5,6.5
1167.5,1195.5,4.5
1170.5,1539.5,7.5
1172.0,738.5,8.0
1172.5,1373.0,5.5
1173.0,1084.0,5.0
1179.0,25.0,7.0
1184.0,427.0,8.0
1190.0,211.5,9.0
1187.0,1133.5,6.0
1192.0,703.0,6.0
1193.5,1566.5,4.5
